4 7
0 732 12103
1 466 28224
0 79 45812
1 848 52612
1 772 22252
0 519 29818
0 51 38166
1 292 23577
1 17 30253
1 204 48621
1 902 57385
0 607 21206
1 331 6892
0 175 16553
1 696 63521
0 809 30473
0 147 58582
1 64 30463
1 74 51226
0 986 66212
0 268 14334
0 256 66456
0 538 51899
0 943 53237
0 468 4429
0 595 24955
0 825 40236
1 156 24019
1 99 58299
1 896 66417
1 117 14404
0 692 21559
0 499 7107
1 575 14531
1 749 38228
0 284 43809
1 753 40979
1 417 52664
0 829 40927
0 392 11510
1 736 55134
1 25 14210
0 713 28351
1 736 20432
0 146 33410
0 330 42582
1 877 40488
0 835 10801
1 223 30751
0 768 43140
1 519 11422
1 965 58782
1 563 47403
0 525 32735
1 531 37145
1 713 33053
0 44 6005
0 334 2658
0 929 25826
0 181 61240
0 518 66962
0 310 45810
0 244 51602
0 505 45261
0 90 63414
0 246 16699
0 98 28714
0 903 16564
0 85 20494
0 917 41571
1 163 11276
1 260 18259
1 615 7267
1 414 55169
0 210 51213
1 750 58127
1 890 31778
1 863 62018
1 584 33363
0 823 9700
1 289 60707
0 212 20383
1 906 64246
0 621 46434
0 909 34191
0 254 59418
0 184 38175
1 662 67021
1 531 49196
1 450 46343
1 319 33251
1 126 44835
1 336 12174
0 453 2261
1 314 67383
1 981 29100
0 80 55026
1 203 20829
0 459 28876
1 24 45216
0 579 36482
0 655 38049
0 859 49362
1 91 12084
0 120 12342
1 77 1672
1 673 1505
1 227 47797
1 867 63698
1 435 33681
1 628 6441
0 769 57140
1 891 31547
1 947 47632
1 833 48544
0 537 21094
1 490 46374
1 659 6683
0 540 57534
1 142 44488
1 578 4612
0 780 51134
0 792 67261
0 356 61559
1 519 45580
1 139 26483
1 702 15749
1 899 40238
0 772 16746
0 220 64175
1 589 33325
0 75 35143
1 317 3473
0 944 5275
1 801 21273
1 927 16625
1 770 23678
0 446 43170
0 748 18194
0 262 58860
1 957 44533
0 43 61589
0 458 5348
1 824 53713
0 117 13788
1 313 30451
1 384 36219
0 699 68286
1 841 56913
1 465 68094
1 276 35400
1 74 28077
0 784 47303
1 165 58371
1 621 24084
1 339 60974
1 633 61357
1 109 52231
0 858 61117
0 97 43099
1 420 15968
1 771 8430
0 167 3968
1 596 57380
1 892 42479
0 485 9455
1 112 10356
1 156 20672
0 697 26533
0 748 39478
0 362 52467
1 123 11093
1 722 52571
0 328 13484
0 45 63525
1 712 17593
0 530 50248
1 64 61072
0 393 13034
0 224 23331
0 31 42880
1 982 58111
1 171 47753
0 633 46335
1 400 4772
0 222 55359
0 106 4150
1 733 5699
1 36 25596
1 860 10928
0 780 14290
0 16 23483
1 325 4620
0 524 29495
0 500 29156
1 962 27431
1 401 55146
1 353 19875
1 588 38750
0 351 42316
1 576 51451
1 744 63076
0 367 31685
1 454 58717
1 697 59095
1 485 13818
0 12 9728
1 267 50688
0 877 34609
0 240 29915
0 119 32369
1 212 54792
1 809 39471
0 748 4375
1 911 59026
0 366 30624
1 64 21347
1 759 36058
1 903 56276
0 658 36268
0 648 18001
0 182 9893
0 399 34800
1 607 8366
1 946 15649
0 998 24055
1 774 51651
1 772 63930
0 806 4835
1 326 3972
1 660 23114
0 359 24703
0 905 4041
1 196 22694
0 328 40455
0 694 24364
0 604 7852
1 835 22945
0 206 10594
1 321 57333
1 335 62204
0 59 5162
0 491 19676
1 759 58310
0 218 53242
1 94 24686
0 523 13184
0 470 10651
0 67 66935
0 557 31910
0 963 56339
0 921 57393
1 934 51820
0 715 47802
1 847 23613
1 375 14454
0 785 34240
0 867 2664
0 410 8526
1 140 2783
1 207 27430
0 514 6286
0 382 45877
0 710 61975
0 146 23498
0 699 1818
0 949 66642
0 268 9170
1 583 12554
1 259 38137
0 194 39598
0 565 2540
0 612 39459
1 121 39050
0 76 4834
1 861 20060
0 557 48606
1 16 33533
1 750 29351
1 659 51780
0 0 67309
0 357 10946
1 611 60160
1 19 3072
0 812 26171
0 746 60537
1 851 53413
0 909 43765
0 687 48842
1 804 17894
0 375 3134
0 551 31272
0 462 43457
0 32 53592
1 38 36421
0 197 25405
0 674 31553
1 559 56537
1 107 8117
1 733 15783
1 344 26564
1 876 50034
1 147 61116
0 721 33101
1 822 55647
0 879 61094
0 736 49337
0 517 22060
0 938 33728
0 387 34398
0 899 14994
1 957 1861
1 283 51120
1 622 18608
0 351 35268
0 256 11548
0 527 14541
1 792 23371
0 771 57155
0 231 13935
0 719 21738
1 520 19548
0 633 62950
0 77 20946
0 882 54374
1 891 3833
1 917 55394
1 426 30062
0 176 46214
0 949 36461
1 384 39638
1 417 10595
1 493 4337
1 217 14563
1 319 30834
0 977 52737
1 584 66901
0 488 32324
1 706 47155
1 821 52013
0 678 35301
0 494 37808
1 446 56277
1 49 32295
0 826 8004
1 41 65048
0 566 7547
1 736 14292
1 190 20859
1 984 34892
1 760 43035
0 363 22841
1 469 57864
1 743 62028
1 841 5893
1 77 43899
0 567 15962
1 249 25935
0 342 23278
1 429 39741
1 223 29251
0 256 68226
1 230 37201
1 966 60508
0 589 43397
0 257 28437
1 440 41479
0 999 4986
1 56 39055
0 124 57085
1 501 31749
1 962 62186
1 915 49390
1 645 56191
1 439 18874
1 980 35032
0 216 29097
0 620 36206
0 231 40410
1 394 29339
0 897 20275
1 598 59214
0 787 2926
1 52 66872
0 861 62303
1 576 40812
0 102 47322
1 619 39148
1 776 40560
1 422 66619
0 286 5184
1 17 11221
1 656 65295
0 374 49803
1 417 26493
1 555 38196
0 449 9574
0 695 3842
1 108 9417
0 870 33769
0 623 66203
1 391 18409
0 291 44687
1 550 27512
1 510 35264
0 1000 17086
1 150 15743
0 346 24983
1 496 62984
0 765 22612
0 458 43273
0 588 34160
1 380 62847
0 320 1880
1 643 64353
1 948 57925
1 242 52095
0 905 41003
1 560 36159
1 802 15374
1 711 27158
1 33 49813
1 894 14305
1 858 11146
1 6 48346
0 528 66498
1 463 31224
1 935 54413
1 261 28717
0 741 14483
1 236 13059
1 607 29198
1 677 46232
0 564 46493
1 334 59594
1 716 16209
0 522 41852
0 489 31546
0 765 54870
1 567 8097
0 370 22230
1 26 35033
0 252 15270
1 65 66683
0 63 31597
0 757 5267
0 200 35531
1 814 2526
0 319 1649
0 638 42886
0 69 2691
1 652 18873
0 285 29091
1 831 20740
0 316 32944
1 949 17490
0 452 66296
1 149 4792
1 633 27738
1 222 11404
0 272 17621
0 647 36610
1 651 53091
1 615 65245
0 785 43119
0 920 67395
1 189 53700
1 11 5281
1 646 31558
1 97 31948
0 454 2438
1 738 32488
1 168 7315
1 335 43390
1 155 35598
1 497 30792
1 554 57232
0 964 8684
0 144 1313
1 647 2963
1 208 60580
1 503 26905
1 147 29400
1 802 65342
1 467 54957
0 202 20942
1 451 13051
0 669 3090
1 384 7180
1 901 5419
1 805 11884
0 130 52967
1 944 3421
0 8 2649
1 235 65626
0 987 40838
1 534 62865
1 150 38740
1 454 53834
1 868 49415
1 527 10597
1 265 37047
1 374 25194
1 695 6921
0 733 67080
0 244 60735
1 967 66197
0 601 20331
0 205 60643
1 84 16549
0 897 63640
1 995 34356
0 594 9921
0 632 55970
1 777 64159
1 673 54684
1 327 61473
1 438 63681
0 165 45040
0 659 50060
0 216 29323
0 643 46716
1 211 37924
1 32 45903
0 93 49693
1 707 9783
0 83 7925
0 578 21379
1 954 2214
0 460 17477
0 640 67915
1 213 32558
0 1 26481
0 812 48022
1 547 46008
0 941 44753
1 903 17684
1 484 3098
1 760 21783
0 856 22881
1 964 58482
0 90 58091
1 276 20416
1 460 59300
0 806 55844
0 668 33371
1 789 28060
0 885 42082
0 806 30221
1 756 6999
0 467 22187
1 416 20746
0 158 52523
0 857 53530
1 436 54097
0 226 65685
1 858 4330
0 555 22399
0 86 20904
1 72 3639
0 302 21957
0 612 54957
1 558 55913
0 758 56313
0 377 21958
1 643 27808
0 638 33542
0 806 24402
0 392 38336
1 67 62695
0 694 44691
1 679 19218
0 688 26560
1 371 54949
0 204 3239
0 167 22323
0 610 24442
1 788 43937
0 287 43028
0 441 61003
1 159 22567
0 876 46907
0 666 34444
1 868 33642
1 646 37457
1 868 62511
1 813 3120
0 618 48904
1 972 61840
0 808 27500
0 97 50194
0 679 42432
1 480 23137
0 131 49211
0 238 35474
1 278 56181
0 987 43191
0 23 55312
0 362 19389
1 406 54408
1 328 27149
0 289 65219
1 767 11538
1 2 23305
0 549 54657
1 985 49533
1 259 38968
0 443 66038
1 108 18799
1 522 53645
1 632 6554
0 883 3612
1 598 66938
1 127 18972
1 730 61511
1 157 43342
1 39 12112
1 604 62308
1 503 33940
0 178 54034
1 972 28564
0 999 35998
1 679 15727
0 911 4558
1 812 32697
0 189 64888
1 425 53472
1 241 58589
1 835 22733
0 779 41375
1 668 62108
1 610 2825
0 737 42915
0 82 23713
0 925 64771
0 874 2359
1 131 3262
1 52 50785
0 803 19370
1 922 56177
1 544 60330
0 749 65518
0 267 46405
1 851 27368
1 146 23909
1 355 32707
1 900 54305
0 423 49750
1 900 4780
0 982 42270
1 983 59811
0 98 2769
1 533 1585
1 854 43884
1 986 40949
0 61 64585
1 958 1346
1 372 3916
1 234 29200
1 411 14898
0 934 26888
1 859 3719
1 307 52638
1 441 11279
1 731 37038
0 446 24521
1 29 65540
1 795 2783
0 963 63432
1 45 7551
1 473 21224
0 638 11707
0 399 31852
0 154 23438
1 142 67206
0 828 31576
1 315 19082
0 90 14733
0 888 52664
0 159 50296
1 381 57475
1 925 41225
1 608 56842
1 576 6411
0 650 39958
1 630 34523
1 289 54458
1 642 22488
0 88 49930
0 447 15059
0 513 46678
1 191 36928
0 42 21575
1 100 36395
1 197 53900
0 368 20877
0 726 9554
1 782 1389
1 777 62462
0 982 49006
1 228 1707
1 268 53507
0 21 55006
0 155 51680
1 86 24507
0 411 37986
0 189 58229
0 45 12486
0 22 64038
1 340 39057
1 893 66082
1 331 43177
0 58 28514
0 1000 47929
0 639 60035
1 34 31825
0 504 56085
1 826 38545
0 548 58850
1 385 28096
1 896 44909
1 131 64827
0 914 67337
0 493 67832
1 890 14295
0 636 62267
1 582 50772
0 577 32114
1 864 62453
1 824 34928
0 58 26431
1 39 2059
1 6 16158
1 960 58980
0 669 41913
1 283 22752
1 270 56471
0 244 44308
0 293 54122
0 805 30301
0 576 47708
1 487 56575
1 3 5879
1 187 52319
0 10 42880
0 46 54769
1 720 32775
1 263 55690
0 62 33421
0 453 2461
0 791 22445
0 919 45923
0 167 45749
1 736 38428
1 172 31520
0 685 12585
1 778 28928
1 859 12341
1 107 63784
1 96 35026
1 833 15320
0 651 48485
1 453 66550
1 365 8029
0 533 59892
1 483 66040
1 100 10786
1 992 62784
0 610 59880
1 288 43191
1 875 6167
1 496 44019
1 745 5038
0 886 18673
1 812 52118
1 313 2319
0 816 50664
1 583 16729
0 945 63456
0 487 49322
1 584 36599
1 993 56255
0 431 2757
0 351 39811
0 588 30804
0 972 4286
0 162 57682
0 189 36064
1 853 38705
1 884 55780
1 590 55584
0 460 21095
1 726 36749
1 661 59246
1 830 31900
1 873 38447
1 235 38778
0 493 49332
1 336 12393
1 627 17119
1 446 25577
0 419 18685
0 955 13304
0 975 6974
0 581 40809
0 115 45016
1 822 9165
1 299 54210
0 412 8090
1 319 63398
0 127 24333
1 997 54375
1 37 34396
1 382 54106
1 782 10351
1 412 7610
0 469 56367
0 883 30210
1 747 54543
0 224 57687
0 564 55509
0 679 19454
1 791 17870
1 538 7606
1 728 2960
0 137 12701
0 327 21997
0 999 52050
0 992 5187
1 382 43033
0 701 15513
1 153 65706
1 219 41601
0 227 27387
0 506 14678
0 118 38735
0 529 1299
0 132 29150
0 929 3121
0 116 40846
0 802 41395
1 138 47825
1 288 46848
0 93 8335
1 784 25683
1 237 67627
0 974 55685
0 314 17702
1 306 19182
1 538 43680
0 974 63505
0 996 20393
1 238 4913
1 168 22226
1 258 65755
0 383 60504
0 688 59162
1 851 54503
0 323 48337
1 291 62302
1 52 58917
1 895 12547
0 810 37774
0 30 51464
0 339 15371
1 551 49475
0 269 20019
1 460 63044
1 116 52717
1 609 11732
0 416 24053
1 23 18850
1 456 28697
0 865 27133
1 919 4493
0 910 7017
0 113 64238
0 22 52722
0 386 44076
1 721 2973
1 653 46380
0 129 4870
1 106 54675
1 879 28391
0 649 26586
0 76 51238
1 690 41743
0 91 49307
0 269 28363
1 815 23082
1 462 67526
1 758 32124
0 441 39893
0 741 10313
0 397 53785
0 602 32700
0 305 52727
0 497 11008
1 381 38705
1 394 8434
0 785 44763
0 124 16748
1 132 47497
1 167 8022
0 837 25455
1 64 5141
0 548 58787
0 325 54076
0 7 66111
0 888 23788
1 55 48131
1 650 40290
1 743 65338
0 611 68240
1 197 56736
0 773 55647
